branch,tensor,numel,mean_angular_step,final_cumulative_angular_step
linear_down,blocks.1.attn.proj.bias,192,0.005095717885331863,4.4587531496654265
linear_down,blocks.1.attn.proj.weight,36864,0.0036891927755703393,3.22804367862409
linear_down,blocks.1.attn.qkv.bias,576,0.005629801804998041,4.92607657937333
linear_down,blocks.1.attn.qkv.weight,110592,0.004128720434049889,3.6126303797937
linear_down,blocks.1.mlp.fc1.bias,768,0.004446202794755089,3.890427445410751
linear_down,blocks.1.mlp.fc1.weight,147456,0.0038910430295591956,3.4046626508643385
linear_down,blocks.1.mlp.fc2.bias,192,0.0051829617325482085,4.53509151597973
linear_down,blocks.1.mlp.fc2.weight,147456,0.004043662732666569,3.5382048910832964
linear_down,blocks.10.attn.proj.bias,192,0.004288027587679293,3.752024139219429
linear_down,blocks.10.attn.proj.weight,36864,0.004004494050051965,3.503932293795515
linear_down,blocks.10.attn.qkv.bias,576,0.0057455059968466796,5.027317747240886
linear_down,blocks.10.attn.qkv.weight,110592,0.0040971024974714425,3.5849646852875594
linear_down,blocks.10.mlp.fc1.bias,768,0.002858149044947383,2.5008804143290035
linear_down,blocks.10.mlp.fc1.weight,147456,0.003695069962513717,3.2331862171995454
linear_down,blocks.10.mlp.fc2.bias,192,0.004120293643990744,3.605256938491948
linear_down,blocks.10.mlp.fc2.weight,147456,0.0042069709167283,3.681099552137312
linear_down,blocks.11.attn.proj.bias,192,0.004182603694032825,3.659778232278768
linear_down,blocks.11.attn.proj.weight,36864,0.004125259364888547,3.6096019442775287
linear_down,blocks.11.attn.qkv.bias,576,0.004975249216758727,4.353343064663932
linear_down,blocks.11.attn.qkv.weight,110592,0.003979771164412161,3.4822997688606847
linear_down,blocks.11.mlp.fc1.bias,768,0.0025895278384309856,2.2658368586271536
linear_down,blocks.11.mlp.fc1.weight,147456,0.0037039520143131634,3.240958012524061
linear_down,blocks.11.mlp.fc2.bias,192,0.004014363033963049,3.5125676547177136
linear_down,blocks.11.mlp.fc2.weight,147456,0.004143174933868271,3.6252780671347855
